position baseline_total baseline_best total the_best top_95 top_90 top_80
252 0.5255651472999998 0.0 1.0470896375 0.0 8.000000000000001e-07 0.11816700000000005 0.8818322
253 0.5257525842999998 0.0 1.0472894277 0.0 8.000000000000001e-07 0.12089649999999999 0.8791026999999997
254 0.5258350505000001 0.0 1.0474905263000005 0.0 8.000000000000001e-07 0.12373260000000004 0.8762665999999996
255 0.5260330717999998 0.0 1.0476911908999995 0.0 8.000000000000001e-07 0.12661340000000007 0.8733857999999995
256 0.5260862929000001 0.0 1.0478908956000004 0.0 9.000000000000001e-07 0.12954839999999995 0.8704507000000002
257 0.5260970491000002 0.0 1.0480906802999994 0.0 1e-06 0.13250689999999998 0.8674920999999997
258 0.5262538061999998 0.0 1.0482907157999997 0.0 1.1e-06 0.13548770000000002 0.8645111999999999
259 0.5264106126000001 0.0 1.0484909234000002 0.0 1.2e-06 0.13853279999999998 0.861466
260 0.5265864170000001 0.0 1.0486921244999996 0.0 1.3000000000000003e-06 0.14168390000000003 0.8583147999999997
261 0.5265402047000002 0.0 1.0488920196000002 0.0 1.5e-06 0.14485739999999994 0.8551411000000004
262 0.5266535672000002 0.0 1.0490920879 0.0 1.6000000000000001e-06 0.1480859 0.8519125000000001
263 0.5267137739 0.0 1.0492917158 0.0 1.7e-06 0.1513244 0.8486738999999999
264 0.5268274955999999 0.0 1.0494910329 0.0 1.8000000000000001e-06 0.15459390000000006 0.8454043000000004
265 0.5268517868000001 0.0 1.0496904867999997 0.0 1.8000000000000001e-06 0.15793749999999998 0.8420607000000002
266 0.5269782164000002 0.0 1.0498901590999996 0.0 1.8000000000000001e-06 0.16134149999999994 0.8386567000000003
267 0.5272290887 0.0 1.0500902339999996 0.0 1.9e-06 0.16481010000000004 0.835188
268 0.5273980876000003 0.0 1.0502903103 0.0 2.2e-06 0.16830359999999994 0.8316942000000003
269 0.5272939298000002 0.0 1.0504899909 0.0 2.2e-06 0.1718122 0.8281856000000002
270 0.5275475916000001 0.0 1.0506909251000003 0.0 2.2e-06 0.1754251 0.8245727
271 0.5275836755000001 0.0 1.0508905149999999 0.0 2.3e-06 0.17907310000000007 0.8209245999999999
272 0.5275136683999996 0.0 1.0510893018000003 0.0 2.4e-06 0.18276320000000001 0.8172344000000002
273 0.5278227971000001 0.0 1.0512888946999996 0.0 2.4e-06 0.18649149999999995 0.8135060999999998
